var_id,var_name,var_desc,var_year
C0000100,CPUBID,ID CODE OF CHILD,XRND
C0000200,MPUBID,ID CODE OF MOTHER OF CHILD,XRND
C0005300,CRACE,RACE OF CHILD (MOTHER'S RACIAL/ETHNIC COHORT FROM SCREENER),XRND
C0005400,CSEX,SEX OF CHILD,XRND
C0005500,CMOB,DATE OF BIRTH OF CHILD - MONTH,XRND
C0005700,CYRB,DATE OF BIRTH OF CHILD - YEAR,XRND
C0007000,MAGEBIR,AGE OF MOTHER AT BIRTH OF CHILD,XRND
C0320000,PRE0008,MOTHER VISIT MEDICAL PERSON FOR PRENATAL CARE?,XRND
C0320100,PRE0009,MONTH OF PREGNANCY OF 1ST PRENATAL CARE VISIT,XRND
C0327700,PRE0084,WEIGHT OF MOTHER JUST BEFORE DELIVERY OF CHILD,XRND
C0327800,PRE0085,WEIGHT OF MOTHER JUST BEFORE PREGNANCY,XRND
C0327900,PRE0086,WEIGHT CHANGE OF MOTHER DURING PREGNANCY: POUNDS,XRND
C0327910,PRE0089,WEIGHT CHANGE DURING PREGNANCY A GAIN OR LOSS?,XRND
C0328000,PST0002,LENGTH OF GESTATION OF CHILD IN WEEKS,XRND
C0328600,PST0009,WEIGHT OF CHILD AT BIRTH IN OUNCES,XRND
C0328700,PST0010,BIRTH WEIGHT OF CHILD 5.5 POUNDS OR LESS?,XRND
C0547200,MS860249,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SQUIRMS AND KICKS DURING FEEDING,1986
C0547300,MS860250,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD WAVES ARMS DURING FEEDING,1986
C0547400,MS860251,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD MOVES AROUND IN CRIB,1986
C0547500,MS860252,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS SLEEPY AT SAME TIME,1986
C0547600,MS860253,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS HUNGRY AT SAME TIME,1986
C0547700,MS860254,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD WAKES IN THE SAME MOOD,1986
C0547800,MS860255,"TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES, TURNS AWAY FROM STRANGERS",1986
C0547900,MS860256,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD ACTS AFRAID AROUND STRANGE DOGS/CATS,1986
C0548000,MS860257,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1986
C0548100,MS860258,"TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES AROUND DOCTOR, NURSE, DENTIST",1986
C0548200,MS860259,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN MOM PLAYS,1986
C0548300,MS860260,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN PLAYING ALONE,1986
C0548400,MS860261,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS IN THE BATH,1986
C0548500,MS860262,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES AT UNEXPECTED SOUNDS,1986
C0548600,MS860263,TEMPERAMENT (0-11 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1986
C0548700,MS860264,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS FUSSY AND IRRITABLE,1986
C0548800,MS860265,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES COMPARED TO OTHERS,1986
C0548900,MS860266,"TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES, TURNS AWAY FROM STRANGERS",1986
C0549000,MS860267,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD ACTS AFRAID AROUND STRANGE DOGS/CATS,1986
C0549100,MS860268,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1986
C0549200,MS860269,"TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES AROUND DOCTOR, NURSE, DENTIST",1986
C0549300,MS860270,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN MOM PLAYS,1986
C0549400,MS860271,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN PLAYING ALONE,1986
C0549500,MS860272,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS IN THE BATH,1986
C0549600,MS860273,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES AT UNEXPECTED SOUNDS,1986
C0549700,MS860274,TEMPERAMENT (12-23 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1986
C0549800,MS860275,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD GETS FUSSY AND IRRITABLE,1986
C0549900,MS860276,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES COMPARED TO OTHERS,1986
C0550000,MS860312,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD EATS WHAT MOM WANTS CHILD TO,1986
C0550100,MS860313,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD OBEYS WHEN TOLD TO EAT,1986
C0550200,MS860314,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD RESISTS GOING TO BED,1986
C0550300,MS860315,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD OBEYS WHEN TOLD GO TO BED,1986
C0550400,MS860316,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD TURNS OFF TV WITH NO PROTEST,1986
C0550500,MS860317,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD OBEYS WHEN TOLD TO TURN OFF TV,1986
C0550600,MS860318,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS SHY WHEN MEETING A NEW CHILD,1986
C0550700,MS860319,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS SHY WHEN MEETING A NEW ADULT,1986
C0550800,MS860320,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD CRIES WHEN SHE/HE IS HURT A LITTLE,1986
C0550900,MS860321,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD LAUGHS/SMILES EASILY,1986
C0551000,MS860322,"TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD FIGHTS, TAKES TOYS, HITS, ETC",1986
C0551100,MS860323,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS WILLING TO SHARE TOYS,1986
C0551200,MS860324,TEMPERAMENT (24-83 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1986
C0551300,MS860325,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD STAYS CLOSE TO MOM WHEN PLAYING,1986
C0551400,MS860326,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD COPIES MOM'S ACTIONS,1986
C0551500,MS860327,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1986
C0551600,MS860328,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS DEMANDING WHEN MOM IS BUSY,1986
C0551700,MS860329,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD TRIES TO HELP WHEN MOM IS UPSET,1986
C0551800,MS860330,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD WANTS MOM TO HELP HIM/HER,1986
C0551900,MS860331,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD SLEPT THROUGH THE NIGHT IN PAST YEAR,1986
C0571800,ACTVTY1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: ACTIVITY RAW SCORE,1986
C0571900,PREDCT1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: PREDICTABILITY RAW SCORE,1986
C0572000,FEAR1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: FEARFULNESS RAW SCORE,1986
C0572100,AFFECT1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: POSITIVE AFFECT RAW SCORE,1986
C0572200,COMPLY1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: COMPLIANCE RAW SCORE,1986
C0572300,INSECUR1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: INSECURE ATTACHMENT RAW SCORE,1986
C0572400,SOCIAB1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: SOCIABILITY RAW SCORE,1986
C0572500,DIFFICF1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: DIFFICULTY COMPOSITE RAW SCORE,1986
C0572510,DIFFIC1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: DIFFICULTY COMPOSITE RAW SCORE-ABBREV.,1986
C0572600,NEGATV1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: NEGATIVE HEDONIC TONE COMPOSITE RAW SCORE,1986
C0572700,FRIENDF1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: FRIENDLINESS COMPOSITE RAW SCORE,1986
C0572710,FRIEND1986,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: FRIENDLINESS COMPOSITE RAW SCORE-ABBREV.,1986
C0764000,MS880528,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SQUIRMS AND KICKS DURING FEEDING,1988
C0764100,MS880529,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD WAVES ARMS DURING FEEDING,1988
C0764200,MS880530,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD MOVES AROUND IN CRIB,1988
C0764300,MS880531,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS SLEEPY AT SAME TIME,1988
C0764400,MS880532,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS HUNGRY AT SAME TIME,1988
C0764500,MS880533,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD WAKES IN THE SAME MOOD,1988
C0764600,MS880534,"TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES, TURNS AWAY FROM STRANGERS",1988
C0764700,MS880535,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD ACTS AFRAID AROUND STRANGE DOGS/CATS,1988
C0764800,MS880536,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1988
C0764900,MS880537,"TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES AROUND DOCTOR, NURSE, DENTIST",1988
C0765000,MS880538,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN MOM PLAYS,1988
C0765100,MS880539,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN PLAYING ALONE,1988
C0765200,MS880540,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS IN THE BATH,1988
C0765300,MS880541,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES AT UNEXPECTED SOUNDS,1988
C0765400,MS880542,TEMPERAMENT (0-11 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1988
C0765500,MS880543,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS FUSSY AND IRRITABLE,1988
C0765600,MS880544,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES COMPARED TO OTHERS,1988
C0765700,MS880545,"TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES, TURNS AWAY FROM STRANGERS",1988
C0765800,MS880546,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD ACTS AFRAID AROUND STRANGE DOGS/CATS,1988
C0765900,MS880547,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1988
C0766000,MS880548,"TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES AROUND DOCTOR, NURSE, DENTIST",1988
C0766100,MS880549,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN MOM PLAYS,1988
C0766200,MS880550,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN PLAYING ALONE,1988
C0766300,MS880551,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS IN THE BATH,1988
C0766400,MS880552,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES AT UNEXPECTED SOUNDS,1988
C0766500,MS880553,TEMPERAMENT (12-23 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1988
C0766600,MS880554,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD GETS FUSSY AND IRRITABLE,1988
C0766700,MS880555,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES COMPARED TO OTHERS,1988
C0766800,MS880556,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD EATS WHAT MOM WANTS CHILD TO,1988
C0766900,MS880557,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD OBEYS WHEN TOLD TO EAT,1988
C0767000,MS880558,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD RESISTS GOING TO BED,1988
C0767100,MS880559,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD OBEYS WHEN TOLD GO TO BED,1988
C0767200,MS880560,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD TURNS OFF TV WITH NO PROTEST,1988
C0767300,MS880561,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD OBEYS WHEN TOLD TO TURN OFF TV,1988
C0767400,MS880562,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS SHY WHEN MEETING A NEW CHILD,1988
C0767500,MS880563,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS SHY WHEN MEETING A NEW ADULT,1988
C0767600,MS880564,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD CRIES WHEN SHE/HE IS HURT A LITTLE,1988
C0767700,MS880565,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD LAUGHS/SMILES EASILY,1988
C0767800,MS880566,"TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD FIGHTS, TAKES TOYS, HITS, ETC",1988
C0767900,MS880567,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS WILLING TO SHARE TOYS,1988
C0768000,MS880568,TEMPERAMENT (24-83 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1988
C0768100,MS880569,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD STAYS CLOSE TO MOM WHEN PLAYING,1988
C0768200,MS880570,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD COPIES MOM'S ACTIONS,1988
C0768300,MS880571,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1988
C0768400,MS880572,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS DEMANDING WHEN MOM IS BUSY,1988
C0768500,MS880573,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD TRIES TO HELP WHEN MOM IS UPSET,1988
C0768600,MS880574,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD WANTS MOM TO HELP HIM/HER,1988
C0768700,MS880575,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD SLEPT THROUGH THE NIGHT IN PAST YEAR,1988
C0792200,ACTVTY1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: ACTIVITY RAW SCORE,1988
C0792300,PREDCT1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: PREDICTABILITY RAW SCORE,1988
C0792400,FEAR1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: FEARFULNESS RAW SCORE,1988
C0792500,AFFECT1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: POSITIVE AFFECT RAW SCORE,1988
C0792600,COMPLY1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: COMPLIANCE RAW SCORE,1988
C0792700,INSECUR1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: INSECURE ATTACHMENT RAW SCORE,1988
C0792800,SOCIAB1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: SOCIABILITY RAW SCORE,1988
C0792900,DIFFICF1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: DIFFICULTY COMPOSITE RAW SCORE,1988
C0792910,DIFFIC1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: DIFFICULTY COMPOSITE RAW SCORE-ABBREV.,1988
C0793000,NEGATV1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: NEGATIVE HEDONIC TONE COMPOSITE RAW SCORE,1988
C0793100,FRIENDF1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: FRIENDLINESS COMPOSITE RAW SCORE,1988
C0793110,FRIEND1988,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: FRIENDLINESS COMPOSITE RAW SCORE-ABBREV.,1988
C0967000,MS900745,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SQUIRMS AND KICKS DURING FEEDING,1990
C0967100,MS900747,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD WAVES ARMS DURING FEEDING,1990
C0967200,MS900749,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD MOVES AROUND IN CRIB,1990
C0967300,MS900751,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS SLEEPY AT SAME TIME,1990
C0967400,MS900753,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS HUNGRY AT SAME TIME,1990
C0967500,MS900755,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD WAKES IN THE SAME MOOD,1990
C0967600,MS900757,"TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES, TURNS AWAY FROM STRANGERS",1990
C0967700,MS900759,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD ACTS AFRAID AROUND STRANGE DOGS/CATS,1990
C0967800,MS900761,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1990
C0967900,MS900763,"TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES AROUND DOCTOR, NURSE, DENTIST",1990
C0968000,MS900765,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN MOM PLAYS,1990
C0968100,MS900767,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN PLAYING ALONE,1990
C0968200,MS900769,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS IN THE BATH,1990
C0968300,MS900771,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES AT UNEXPECTED SOUNDS,1990
C0968400,MS900811,TEMPERAMENT (0-11 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1990
C0968500,MS900813,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS FUSSY AND IRRITABLE,1990
C0968600,MS900815,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD CRIES COMPARED TO OTHERS,1990
C0968700,MS900817,"TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES, TURNS AWAY FROM STRANGERS",1990
C0968800,MS900819,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD ACTS AFRAID AROUND STRANGE DOGS/CATS,1990
C0968900,MS900821,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1990
C0969000,MS900823,"TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES AROUND DOCTOR, NURSE, DENTIST",1990
C0969100,MS900825,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN MOM PLAYS,1990
C0969200,MS900827,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS WHEN PLAYING ALONE,1990
C0969300,MS900829,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD SMILES/LAUGHS IN THE BATH,1990
C0969400,MS900831,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES AT UNEXPECTED SOUNDS,1990
C0969500,MS900833,TEMPERAMENT (12-23 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1990
C0969600,MS900835,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD GETS FUSSY AND IRRITABLE,1990
C0969700,MS900837,TEMPERAMENT (12-23 MONTHS): HOW OFTEN CHILD CRIES COMPARED TO OTHERS,1990
C0969800,MS900839,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD EATS WHAT MOM WANTS CHILD TO,1990
C0969900,MS900841,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD OBEYS WHEN TOLD TO EAT,1990
C0970000,MS900843,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD RESISTS GOING TO BED,1990
C0970100,MS900845,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD OBEYS WHEN TOLD GO TO BED,1990
C0970200,MS900847,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD TURNS OFF TV WITH NO PROTEST,1990
C0970300,MS900849,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD OBEYS WHEN TOLD TO TURN OFF TV,1990
C0970400,MS900851,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS SHY WHEN MEETING A NEW CHILD,1990
C0970500,MS900853,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS SHY WHEN MEETING A NEW ADULT,1990
C0970600,MS900855,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD CRIES WHEN SHE/HE IS HURT A LITTLE,1990
C0970700,MS900857,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD LAUGHS/SMILES EASILY,1990
C0970800,MS900859,"TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD FIGHTS, TAKES TOYS, HITS, ETC",1990
C0970900,MS900861,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS WILLING TO SHARE TOYS,1990
C0971000,MS900863,TEMPERAMENT (24-83 MONTHS): HOW OFTEN MOM HAS TROUBLE CALMING CHILD,1990
C0971100,MS900865,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD STAYS CLOSE TO MOM WHEN PLAYING,1990
C0971200,MS900911,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD COPIES MOM'S ACTIONS,1990
C0971300,MS900913,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD GETS UPSET WHEN MOM LEAVES,1990
C0971400,MS900915,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD IS DEMANDING WHEN MOM IS BUSY,1990
C0971500,MS900917,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD TRIES TO HELP WHEN MOM IS UPSET,1990
C0971600,MS900919,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD WANTS MOM TO HELP HIM/HER,1990
C0971700,MS900921,TEMPERAMENT (24-83 MONTHS): HOW OFTEN CHILD SLEPT THROUGH THE NIGHT IN PAST YEAR,1990
C0992200,ACTVTY1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: ACTIVITY RAW SCORE,1990
C0992300,PREDCT1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: PREDICTABILITY RAW SCORE,1990
C0992400,FEAR1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: FEARFULNESS RAW SCORE,1990
C0992500,AFFECT1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: POSITIVE AFFECT RAW SCORE,1990
C0992600,COMPLY1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: COMPLIANCE RAW SCORE,1990
C0992700,INSECUR1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: INSECURE ATTACHMENT RAW SCORE,1990
C0992800,SOCIAB1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: SOCIABILITY RAW SCORE,1990
C0992900,DIFFIC1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: DIFFICULTY COMPOSITE RAW SCORE - ABBREV,1990
C0993000,NEGATV1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: NEGATIVE HEDONIC TONE COMPOSITE RAW SCORE,1990
C0993100,FRIEND1990,HOW MY CHILD USUALLY ACTS/TEMPERAMENT: FRIENDLINESS COMPOSITE RAW SCORE-ABBREV,1990
C1165300,MS920748,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD SQUIRMS AND KICKS DURING FEEDING,1992
C1165400,MS920749,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD WAVES ARMS DURING FEEDING,1992
C1165500,MS920751,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD MOVES AROUND IN CRIB,1992
C1165600,MS920753,TEMPERAMENT (0-11 MONTHS): HOW OFTEN CHILD GETS SLEEPY AT SAME TIME,1992
